,Estimate,Std..Error,t.value,p
(Intercept),646.199999999999,25.7264066670804,25.1181600431932,0
Race_Dummy,-183.799999999999,36.3826332197107,-5.05186083948491,4.37526431751323e-07
Time_Centered,-14.3999999999998,10.5027615416137,-1.37106797511727,0.170353767013331
Race_Dummy:Time_Centered,41.7999999999998,14.8531478145207,2.81421827359285,0.0048896015483566
