,Estimate,Std..Error,t.value,p
(Intercept),668.485714285713,10.0141450978511,66.7541470343942,0
Race_Dummy,-254.371428571428,14.1621398129532,-17.9613696751371,0
Time_Centered,-58.9714285714268,11.8625392195218,-4.97123149438187,6.65289545009884e-07
Time_Centered_Sq,11.1428571428568,2.84382610909589,3.91826247997959,8.91895556567324e-05
Race_Dummy:Time_Centered,182.942857142857,16.7761638484305,10.9049278962527,0
Race_Dummy:Time_Centered_Sq,-35.2857142857142,4.02177745251413,-8.77366157186449,0
