"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",646.2,33.2126481931207,19.456443106932,1.19396636972072e-06
"Race_Dummy",-183.8,46.9697775170375,-3.91315457973651,0.00786375456489921
"Time_Centered",-14.4000000000001,13.5590068466192,-1.06202468682952,0.329089903531036
"Race_Dummy:Time_Centered",41.8,19.1753313747985,2.17988410124355,0.0720728399362274
